Data;Cliente;Projeto;Item;Hs
01/06/2026;Monsters SA;Wasowski;SCARE-42, door calibration;8
02/06/2026;Monsters SA;Wasowski;SCARE-42, SCARE-51, PRs;8
03/06/2026;Monsters SA;Wasowski;SCARE-55, scream canister refactor;8
04/06/2026;Monsters SA;Boo Tracker;BOO-7, laugh energy research;8
05/06/2026;Monsters SA;Boo Tracker;BOO-10, containment protocol;4
05/06/2026;Monsters SA;admin;daily, planning;4
08/06/2026;Monsters SA;Wasowski;SCARE-60, door station upgrade;8
09/06/2026;Monsters SA;Wasowski;SCARE-60, code review;8
10/06/2026;Pixar Inc;Ratatouille;RAT-12, recipe API;8
11/06/2026;Pixar Inc;Ratatouille;RAT-15, kitchen integration;8
12/06/2026;Pixar Inc;Ratatouille;RAT-15, testing;8
15/06/2026;Monsters SA;Boo Tracker;BOO-18, portal detector;8
16/06/2026;Monsters SA;Boo Tracker;BOO-18, portal detector;8
17/06/2026;Monsters SA;Wasowski;SCARE-70, laugh floor dashboard;8
18/06/2026;Monsters SA;Wasowski;SCARE-70, laugh floor dashboard;8
